,0,1,2
0,2700,0,450
1,2700,10,624
2,2700,20,653
3,2700,30,812
4,2700,40,926
5,2700,50,1071
6,2700,60,1254
7,2700,70,1499
8,2700,80,1850
9,2700,90,2302
10,2700,100,2948
11,3100,0,518
12,3100,10,689
13,3100,20,753
14,3100,30,840
15,3100,40,954
16,3100,50,1091
17,3100,60,1281
18,3100,70,1546
19,3100,80,1914
20,3100,90,2380
21,3100,100,3020
22,3500,0,516
23,3500,10,480
24,3500,20,557
25,3500,30,663
26,3500,40,773
27,3500,50,758
28,3500,60,1097
29,3500,70,1369
30,3500,80,1722
31,3500,90,2204
32,3500,100,2869
33,3900,0,341
34,3900,10,520
35,3900,20,575
36,3900,30,662
37,3900,40,779
38,3900,50,923
39,3900,60,1112
40,3900,70,1374
41,3900,80,1756
42,3900,90,2242
43,3900,100,2915
44,4300,0,339
45,4300,10,514
46,4300,20,575
47,4300,30,657
48,4300,40,766
49,4300,50,910
50,4300,60,1112
51,4300,70,1375
52,4300,80,1754
53,4300,90,2363
54,4300,100,3120
55,4700,0,455
56,4700,10,647
57,4700,20,727
58,4700,30,728
59,4700,40,939
60,4700,50,1099
61,4700,60,1319
62,4700,70,1597
63,4700,80,2017
64,4700,90,2528
65,4700,100,3246
66,5100,0,474
67,5100,10,667
68,5100,20,704
69,5100,30,805
70,5100,40,766
71,5100,50,952
72,5100,60,1183
73,5100,70,1479
74,5100,80,1904
75,5100,90,2439
76,5100,100,3189
77,5500,0,327
78,5500,10,525
79,5500,20,583
80,5500,30,671
81,5500,40,798
82,5500,50,983
83,5500,60,1199
84,5500,70,1503
